product_code,brand,ad_name,family,colorway,tier,is_primary_listing,restockable,notes
15246914061,askalabel,"Gendhis by Aska Label - Atasan wanita muslim rayon warna putih offwhite, raspberry maroon busui friendly dengan kerah dan full kancing depan manset. [4]",gendhis,,,,,
24433597342,askalabel,Andari Skirt by Aska Label - Rok maxi wanita dengan kantong dan pinggang full karet [3],andari,,,,,
28702512723,askalabel,"Reska Skirt by Aska Label - Rok wanita pleats rok plisket pinggang full karet warna abu tua dark grey, hitam black [4]",reska,,,,,
19370658803,askalabel,Darya by Aska Label - Kemeja wanita rayon viscose atasan blouse basic lengan panjang [7],darya,,,,,
23556823263,askalabel,Kanda by Aska Label - Celana panjang wanita dengan kantong dan pinggang karet bahan crinkle [5],kanda,,,,,
6810842135,askalabel,"Astaka by Aska Label - Celana panjang palazo dengan kantong dan pinggang karet warna Grey, Latte, Black, Offwhite [6]",astaka,,,,,
28266124526,askalabel,Akash by Aska Label - Kaos wanita lengan panjang dengan motif stripes garis,akash,,,,,
25364621555,askalabel,Adikara by Aska Label - Gamis kemeja wanita pleats dress kerah wanita busui friendly [4],adikara,,,,,
44278636302,askalabel,Sekar Candrani by Aska Label - Atasan wanita asimetris dengan details bunga dan drapery bahan satin premium,sekar,,,,,
19871241895,askalabel,Khansa by Aska Label - Dress wanita polos gamis basic wanita bahan crinkle anti kusut busui friendly warna mocca dusty pink coklat [6],khansa,,,,,
28826797643,askalabel,Padmana by Aska Label - Kemeja koko pria cowo bahan rayon premium,padmana,,,,,
57305584941,askalabel,Praba by Aska Label - Kemeja koko pria bahan 100% katun lengan panjang,praba,,,,,
26326961881,askalabel,Lintang by Aska Label - Gamis wanita rayon premium dress wanita busui friendly,lintang,,,,,
26920151329,askalabel,"Svasti by Aska Label - Gamis wanita polos bahan crinkle dress wanita Muslim lengan panjang ikat pinggang warna beige, hijau sage, hitam black [2]",svasti,,,,,
2818060874,askalabel,"Sasmaya by Aska Label - Gamis drape details bisa untuk kondangan dan bridesmaid warna Lilac, Burgundy, Taupe, Offwhite [5]",sasmaya,,,,,
40423225280,askalabel,Tenara by Aska Label - Rok tier dengan detail kerut dan pinggang karet bahan rayon twill premium,tenara,,,,,
27664054762,askalabel,Narandra by Aska Label - Celana palazzo wanita celana bahan rayon wanita pinggang full karet [4],narandra,,,,,
22107362807,askalabel,"Basic Batara by Aska Label - Kemeja wanita basic lengan panjang full kancing warna pink mauve, hijau sage, biru navy dengan detail kerut di lengan [7]",batara,,,,,
5431325396,askalabel,Sasmaya Kids by Aska Label - Gamis anak ukuran 1 sampai 11 [7],sasmaya,,,,,
21688392429,askalabel,Arraya by Aska Label - Inner dress sleeveless gamis busui friendly bahan tebal tidak transparant [7],arraya,,,,,
4472023302,askalabel,"Askara by Aska Label - Gamis wanita panjang dress wanita lengan panjang busui friendly bahan crepe warna maroon, pink mauve [6]",gamis,,,,,
3436311033,askalabel,"Tiras by Aska Label - Atasan plisket busui friendly Warna Mauve, Taupe, Black [6]",tiras,,,,,
1223224086,askalabel,"Basic Dress by Aska Label - Gamis panjang hitam bermanset busui dan bumil friendly warna hitam, putih, hijau sage, abu muda, pink muda [7]",gamis,,,,,
7218505716,askalabel,Karuna by Aska Label - Tunik wanita panjang rayon lengan panjang busui friendly dengan hem tulip [8],karuna,,,,,
26719994843,askalabel,Uma by Aska Label - Kaos olahraga raglan oversized lengan panjang kaos wanita Muslimah [3],uma,,,,,
28120918290,askalabel,Armaya by Aska Label - Kemeja wanita kemeja kantor wanita dengan details pleats di belakang [3],armaya,,,,,
28724949940,askalabel,Vasya by Aska Label - Kemeja wanita flowy feminime dengan details pleats,vasya,,,,,
27719455638,askalabel,Naresvari by Aska Label - Atasan wanita blouse wanita dengan details pleats full kancing busui friendly,naresvari,,,,,
28173444399,askalabel,Nararya by Aska Label - Kaos wanita atasan kaos wanita turtle neck lengan panjang,nararya,,,,,
24740450490,askalabel,"Taima by Aska Label - Gamis wanita details pleats maxi dress panjang wanita warna putih, grey, hitam",taima,,,,,
52602935126,askalabel,Sada Rayon by Aska Label - Daily gamis dress A-line Wanita bahan rayon twill premium,sada,,,,,
823271179,askalabel,Salma by Aska Label - Tunik wanita panjang dengan hem tulip. Atasan blouse wanita [6],salma,,,,,
26354956955,askalabel,Pravara by Aska Label - Sweater wanita lengan panjang bahan kaos atasan kaos wanita [4],pravara,,,,,
12299321128,askalabel,Narya by Aska Label - Outerwear wanita blazer panjang wanita korean style katun warna coksu dan hitam [5],narya,,,,,
51602936873,askalabel,Miraani Dress by Aska Label - Daily dress gamis wanita dengan details kerut dan bahan 100% rayon premium [2],miraani,,,,,
24950554646,askalabel,"Nalika by Aska Label - Outerwear wanita blazer wanita blezer korean style warna coksu, hitam [7]",nalika,,,,,
1223221453,askalabel,"Basic Dress by Aska Label - Gamis Muslim busui dan bumil friendly warna Sand, Navy, Black, Lilac, Offwhite, Mint, Mauve [5]",gamis,,,,,
26520490187,askalabel,Noor Hijab by Aska Label - Hijab umroh wanita,noor,,,,,
28427280492,askalabel,Campaka by Aska Label - Atasan Eid wanita details custom lace motif bunga two tone,campaka,,,,,
762925596,askalabel,"Rahma by Aska Label - Celana panjang wanita lurus pinggang karet warna Hitam, Light Grey, Olive, Sand [11]",rahma,,,,,
50456304359,askalabel,Cahyasmara by Aska Label - Atasan katun wanita asimetris A line dengan details bordir,cahyasmara,,,,,
42573314535,askalabel,Akandra by Aska Label - Gamis wanita bahan kaos 100% cotton busui friendly,akandra,,,,,
56755926116,askalabel,Sekar Kinanthi by Aska Label - Gamis wanita EID drnga details applikasi bunga dan kerut bahan satin premium busui friendly,sekar,,,,,
1368195265,askalabel,"Taraka by Aska Label - Maxi rok circle swing dengan pinggang karet warna Taupe, Black, Redbud, Navy",taraka,,,,,
28568366720,askalabel,Adara by Aska Label - Celana wanita celana kerja wanita dengan pinggang karet [2],adara,,,,,
25440833405,askalabel,"Vikrama by Aska Label - Tunik plisket lengan panjang full kancing busui friendly warna pink mauve, ungu, hitam black",vikrama,,,,,
25714632623,askalabel,"Artanti by Aska Label - Gamis wanita dengan details leher dan tali pinggang dress wanita warna light blue, burgundy, dan hitam [4]",artanti,,,,,
25264607692,askalabel,"Agni by Aska Label - Gamis wanita pleats dress wanita lengan panjang warna putih, ice grey, hijau sage [5]",agni,,,,,
58152063520,askalabel,"Arundati by Aska Label - Rok maxi bahan satin premium, tidak transparant",arundati,,,,,
28929800753,askalabel,Aravinda by Aska Label - Gamis Eid wanita dengan details bunga bordir busui friendly dan kantong.,aravinda,,,,,
56655010782,askalabel,Luma Dress by Aska Label - Gamis wanita bahan satin premium Eid series A Line dengan layer outer,luma,,,,,
24791655038,askalabel,Padmana Kids by Aska Label - Kemeja koko anak cowo pria bahan rayon premium,padmana,,,,,
28981113386,askalabel,Damayanti by Aska Label - Gamis Eid wanita dress wanita dengan kombinasi details pleats dan lace,damayanti,,,,,
22169774850,askalabel,Keshvari by Aska Label - Gamis wanita plisket dress pleats cantik elegan lengan panjang dengan ikat pinggang [5],keshvari,,,,,
26629795767,askalabel,Saanvi by Aska label - Atasan Eid wanita busui friendly dengan details pleats dan lace,saanvi,,,,,
16396214851,askalabel,Raina by Aska Label - Tunik wanita details pleats. Kemeja wanita kombinasi plisket busui friendly [9],raina,,,,,
10463785077,askalabel,"Smara by Aska Label - Basic gamis polos bahan knit busui friendly lengan panjang warna coksu, hijau, pink, burgundy, coklat milo [6]",smara,,,,,
3106840324,askalabel,"Basic Sada by Aska Label - Gamis polos dengan kantong dan busui friendly bahan crepe warna putih offwhite, hitam black, hijau sage, abu muda, pink, peach, milo tan [4]",sada,,,,,
28077259893,askalabel,Kanti by Aska Label - Gamis Eid wanita dengan details custom lace dan pleats dress lebaran wanita,kanti,,,,,
27676949483,askalabel,Lintang Kids by Aska Label - Gamis anak cewe bahan rayon premium dress polos anak cewe,lintang,,,,,
43675449717,askalabel,Samika Tunik by Aska Label - Basic tunik A Line dengan bahan ceruty yang lembut dan flowy,samika,,,,,
28977358952,askalabel,Angkasa by Aska Label - Gamis wanita busui friendly dress wanita details ikat,angkasa,,,,,
29680487237,askalabel,Padma by Aska Label - Gamis wanita dengan bahan rayon premium dan details bordir,padma,,,,,
28570484886,askalabel,Arafah by Aska Label - Gamis umroh wanita loose dengan bahan crinkle dress umroh wanita,arafah,,,,,
25391817343,askalabel,Aruna by Aska Label - Gamis Eid wanita dengan details custom lace motif bunga two tone dress lebaran wanita,aruna,,,,,
48306239381,askalabel,Zahren by Aska Label - Dress wanita A Line sarimbit keluarga bahan rayon premium,zahren,,,,,
7342953353,askalabel,"Mayang Dress by Aska Label - Gamis plisket busui friendly warna abu, navy, mauve [2]",mayang,,,,,
25641691660,askalabel,Asmara Kids by Aska Label - Gamis anak wanita dress anak lebaran details drape kembaran sarimbit,asmara,,,,,
24663647734,askalabel,Dahayu by Aska Label - Kemeja wanita pleats dengan detail lace kemeja tunik wanita renda [6],dahayu,,,,,
43775447978,askalabel,Anvi Cardigan by Aska Label - Basic cardigan rajut dengan bahan yang lembut dan adem,anvi,,,,,
43078633069,askalabel,Sekar Ayu by Aska Label - Atasan wanita dengan details bunga dan drapery bahan satin premium,sekar,,,,,
28138303976,askalabel,Agra Square Hijab by Aska Label - hijab segi empat voal yang lembut dan nyaman,agra,,,,,
24260710827,askalabel,Dhatri by Aska Label - Kemeja wanita crinkle ironless blouse wanita panjang lengan panjang atasan wanita full kancing [5],dhatri,,,,,
57901150490,askalabel,Ayudya by Aska Label - Gamis wanita A Line bahan rayon twill premium,ayudya,,,,,
